id,x_centroid,y_centroid,sharpness,roundness1,roundness2,n_pixels,peak,flux,mag,daofind_mag
2931,263.5762214306044,643.9365746437292,0.43279088032914864,-0.13565733,-0.07265970770731607,25,175.402,2101.4417,-8.3062935,-2.5617399842452926
2932,745.5982319054057,643.7375436067587,0.46661892448579484,0.04696638,-0.009738151578485298,25,193.3875,2274.9905,-8.392449,-2.6288446374589802
2933,1143.3745840259637,644.2306980076951,0.44597223415792775,-0.21007042,-0.03112182230774201,25,69.59104,821.21387,-7.286141,-1.5657828135373335
2934,171.79406932256376,644.2995243049584,0.5042386945828524,0.1825276,0.3967665610913527,25,270.19443,3535.6687,-8.871179,-2.7890765249563727
2935,209.21746223323677,644.958425801274,0.46810711809300165,-0.18202335,0.027734376934539316,25,76.35309,877.25616,-7.357816,-1.636084801592225
2936,558.0295571060799,645.625158114681,0.3867667905052501,0.06304993,0.2416274621226181,25,35.173946,438.29947,-6.6044273,-0.8818720844929693
2937,580.4212339218669,645.239823779392,0.4758090871052045,-0.06926968,-0.062278821944960795,25,31.465305,411.47253,-6.535852,-0.5612314494091055
2938,848.3351273666357,644.636448853418,0.4715283337341781,0.15170513,0.14015225899472086,25,873.84296,10496.765,-10.052638,-4.228027533808364
2939,959.3729875803489,645.2046461700165,0.5137681754042057,-0.34472972,-0.1058295636617634,25,135.28525,1746.1039,-8.105175,-2.062940444957135
2940,93.32500087571961,645.8418005277802,0.442752969654564,0.03818835,0.1235471508833769,25,316.44522,3870.7874,-8.969499,-3.16674210064567
2941,84.84688106646718,646.7525946722483,0.559888986720947,-0.09484138,-0.0918375011968736,25,86.167465,960.41254,-7.456145,-1.6738415074397974
2942,409.3872137568589,646.6951032675346,0.45576377577290544,-0.1128372,0.08827491054092339,25,395.72717,4650.895,-9.168841,-3.4072002002264776
2943,491.0493502889307,646.9215959144661,0.5005243518770854,0.026846427,0.04543177416366719,25,219.97655,2332.298,-8.41946,-2.831085607704958
